id,id_passenger,date_created,date_close
7249879634,14210136,2021-07-29T13:26:40.632Z,2021-07-30T07:38:44.438Z
7251001597,535923230,2021-07-29T17:25:59.741Z,2021-07-30T07:36:39.859Z
7250771735,485523468,2021-07-29T16:40:44.711Z,2021-07-30T07:18:53.449Z
7251135204,673583566,2021-07-29T17:53:45.339Z,2021-07-30T07:36:46.217Z
7250867760,1471914233,2021-07-29T16:59:39.642Z,2021-07-29T17:25:00.701Z
7248871820,462863155,2021-07-29T08:47:32.344Z,2021-07-30T08:06:45.464Z
7251020227,106235206,2021-07-29T17:29:59.240Z,2021-07-30T09:25:16.935Z
7251303702,1393538191,2021-07-29T18:32:38.148Z,2021-07-30T08:37:23.213Z
7251229757,487776065,2021-07-29T18:15:00.686Z,2021-07-30T08:40:15.474Z
7250207016,403393343,2021-07-29T14:43:21.826Z,2021-07-30T09:56:39.032Z
7251066480,335413278,2021-07-29T17:39:34.568Z,2021-07-30T09:54:16.499Z
7247814142,1393485406,2021-07-29T01:13:40.351Z,2021-07-30T09:54:10.151Z
7250913576,356614287,2021-07-29T17:08:43.105Z,2021-07-30T10:00:52.245Z
7249484908,1522861418,2021-07-29T11:43:51.841Z,2021-07-30T09:20:22.681Z
7250593485,501637958,2021-07-29T16:05:36.252Z,2021-07-30T08:04:37.555Z
7250720077,1474733389,2021-07-29T16:30:37.718Z,2021-07-30T10:07:03.044Z
7249495212,648553540,2021-07-29T11:46:23.533Z,2021-07-30T10:06:32.013Z
7249980604,700387099,2021-07-29T13:49:35.665Z,2021-07-30T09:05:36.509Z
7249689792,526360451,2021-07-29T12:38:53.731Z,2021-07-30T07:51:59.422Z
7251473649,1518410527,2021-07-29T19:18:38.138Z,2021-07-30T07:45:55.594Z
7249531644,391585327,2021-07-29T11:56:28.311Z,2021-07-30T07:47:55.973Z
7251109628,1379146585,2021-07-29T17:48:34.444Z,2021-07-30T08:05:29.822Z
7249447188,1436660661,2021-07-29T11:33:44.018Z,2021-07-30T08:00:05.577Z
7251086697,1521736764,2021-07-29T17:43:44.087Z,2021-07-30T07:54:10.155Z
7248135061,1463175084,2021-07-29T05:23:35.900Z,2021-07-30T07:54:41.693Z
7250047350,1378978225,2021-07-29T14:06:04.948Z,2021-07-30T08:10:10.547Z
7248778371,1512873461,2021-07-29T08:22:43.362Z,2021-07-30T07:49:14.633Z
